ItemID,ItemNo,Status,ReasonCode,status_code_id,status_date,FromLocationCode,FromLocationName,ToLocationCode,ToLocationName,CustAccNum
580,RT007182753IN,RP,,,2/1/2025 10:58,POCCK,Choa Chu Kang Central,POCCK,Choa Chu Kang Central,
581,RT007184856IN,RP,,,2/1/2025 9:23,POCMW,Clementi West,POCMW,Clementi West,
582,RT124398298IN,RP,,,2/1/2025 10:51,POCSQ,City Square ,POCSQ,City Square ,
583,RT156459869PT,RP,,,2/1/2025 10:12,POBMC,Bukit Merah Central,POBMC,Bukit Merah Central,
584,RT156459869PT,PD,,,2/1/2025 12:10,PO026,POPStop Bukit Merah Central,PO026,POPStop Bukit Merah Central,
585,RT459175745IN,RP,,,2/1/2025 12:47,POTWR,Towner,POTWR,Towner,
586,RT609908386IN,RP,,,2/1/2025 11:13,POJRP,Jurong Point,POJRP,Jurong Point,
587,RT808737972IN,RP,,,2/1/2025 10:58,POCCK,Choa Chu Kang Central,POCCK,Choa Chu Kang Central,
588,RT808738071IN,RP,,,2/1/2025 11:13,POJRP,Jurong Point,POJRP,Jurong Point,
589,RT808738071IN,PD,,,2/1/2025 19:08,PO024,POPStop Jurong Point,PO024,POPStop Jurong Point,
590,RT980766265IN,RP,,,2/1/2025 11:20,POTNC,Tampines Central,POTNC,Tampines Central,
591,RT980766305IN,RP,,,2/1/2025 12:11,POBBC,Bukit Batok Central,POBBC,Bukit Batok Central,
592,RU463303370PT,RP,,,2/1/2025 9:02,POKLR,Killiney Road,POKLR,Killiney Road,
593,RU463304962PT,RP,,,2/1/2025 9:02,POKLR,Killiney Road,POKLR,Killiney Road,
594,RV402557628PT,RP,,,2/1/2025 11:19,POTNC,Tampines Central,POTNC,Tampines Central,
595,RW019630119DE,RP,,,2/1/2025 11:13,POJRP,Jurong Point,POJRP,Jurong Point,
596,RW019954503DE,RP,,,2/1/2025 10:18,POBMC,Bukit Merah Central,POBMC,Bukit Merah Central,
597,RW036323728DE,RP,,,2/1/2025 10:35,POKLR,Killiney Road,POKLR,Killiney Road,
598,RX123116035SG,RP,,,2/1/2025 9:02,POKLR,Killiney Road,POKLR,Killiney Road,
599,RX123116044SG,RP,,,2/1/2025 9:02,POKLR,Killiney Road,POKLR,Killiney Road,
600,RX123116092SG,RP,,,2/1/2025 9:08,POKLR,Killiney Road,POKLR,Killiney Road,
601,RX123116101SG,RP,,,2/1/2025 9:08,POKLR,Killiney Road,POKLR,Killiney Road,
602,RX123116115SG,RP,,,2/1/2025 11:06,POJRP,Jurong Point,POJRP,Jurong Point,
